session_id,customer_id,session_date,device,traffic_source,pages_viewed,session_duration_min,added_to_cart,made_purchase
S0000154,C02624,2026-02-05,Mobile,Social,4,34.05,1,1
S0000155,C03810,2024-01-14,Desktop,Paid Ads,15,19.03,0,0
S0000156,C01993,2024-06-27,Desktop,Referral,20,16.72,0,0
S0000157,C00736,2025-07-24,Desktop,Paid Ads,22,29.91,1,1
S0000158,C00565,2024-05-05,Mobile,Direct,21,13.04,1,0
S0000159,C01902,2024-10-18,Desktop,Direct,19,39.69,0,0
S0000160,C00729,2025-08-22,Mobile,Organic,16,4.88,0,0
S0000161,C02724,2025-09-27,Desktop,Organic,10,10.33,0,0
S0000162,C02663,2024-05-15,Desktop,Direct,5,31.61,0,0
S0000163,C04560,2026-02-14,Mobile,Social,14,1.79,0,0
S0000164,C03381,2025-03-11,Mobile,Email,13,13.14,1,1
S0000165,C02235,2025-01-28,Mobile,Direct,15,22.93,1,1
S0000166,C04749,2025-08-24,Mobile,Email,20,7.05,1,0
S0000167,C04858,2025-08-07,Mobile,Organic,2,31.06,1,1
S0000168,C03280,2025-04-19,Mobile,Organic,11,19.97,0,0
S0000169,C03006,2025-10-21,Mobile,Direct,21,4.37,0,0
S0000170,C02273,2026-02-21,Mobile,Direct,5,6.2,1,0
S0000171,C00126,2025-10-04,Mobile,Email,5,21.29,0,0
S0000172,C01187,2023-10-23,Mobile,Referral,17,14.43,1,1
S0000173,C04622,2025-06-23,Desktop,Direct,20,22.81,0,0
S0000174,C02001,2025-12-17,Mobile,Referral,13,13.26,0,0
S0000175,C02583,2024-12-19,Mobile,Referral,1,10.61,0,0
S0000176,C02140,2025-12-22,Desktop,Organic,18,6.7,1,0
S0000177,C03747,2025-10-23,Mobile,Direct,12,22.89,0,0
S0000178,C01757,2025-11-30,Desktop,Paid Ads,11,3.03,0,0
S0000179,C03349,2026-03-06,Tablet,Referral,19,26.01,0,0
S0000180,C01919,2024-10-26,Mobile,Email,20,13.72,0,0
S0000181,C04623,2026-03-24,Desktop,Direct,20,34.28,1,1
S0000182,C01357,2026-02-08,Tablet,Email,24,24.89,0,0
S0000183,C01813,2025-06-01,Desktop,Email,14,36.58,0,0
S0000184,C04681,2024-03-12,Mobile,Organic,11,28.72,0,0
S0000185,C01533,2025-06-27,Mobile,Email,21,17.4,0,0
S0000186,C03692,2024-05-29,Mobile,Direct,22,39.62,0,0
S0000187,C01704,2025-11-13,Desktop,Email,7,14.66,0,0
S0000188,C04931,2024-11-02,Desktop,Social,15,16.39,0,0
S0000189,C04396,2025-10-21,Desktop,Organic,12,24.3,0,0
S0000190,C02968,2025-03-07,Desktop,Email,12,25.92,1,1
S0000191,C03745,2024-08-28,Desktop,Paid Ads,19,3.65,0,0
S0000192,C03609,2025-11-30,Mobile,Organic,9,21.12,0,0
S0000193,C01568,2026-01-16,Desktop,Social,13,34.02,0,0
S0000194,C02684,2026-01-06,Desktop,Direct,15,21.25,0,0
S0000195,C03916,2025-09-07,Mobile,Direct,12,19.75,0,0
S0000196,C03573,2026-02-15,Desktop,Organic,22,18.15,1,1
S0000197,C02379,2025-10-28,Mobile,Social,9,30.03,0,0
S0000198,C04044,2025-09-25,Desktop,Direct,17,8.93,0,0
S0000199,C00228,2026-02-02,Desktop,Email,14,26.72,0,0
S0000200,C00130,2025-01-13,Mobile,Direct,16,27.73,0,0
S0000201,C01631,2025-07-28,Mobile,Social,4,31.26,0,0
S0000202,C03338,2026-03-22,Tablet,Email,2,17.64,0,0
S0000203,C02374,2026-03-19,Desktop,Paid Ads,17,3.42,0,0
S0000204,C04336,2024-03-22,Mobile,Referral,22,26.52,1,0
S0000205,C04129,2025-06-06,Desktop,Direct,2,22.49,0,0
S0000206,C02840,2024-08-12,Mobile,Paid Ads,2,29.69,0,0
S0000207,C02038,2025-11-18,Tablet,Paid Ads,4,33.53,1,1
S0000208,C04782,2025-06-13,Mobile,Social,16,19.02,0,0
S0000209,C00901,2025-10-26,Tablet,Email,23,31.48,0,0
S0000210,C02143,2024-06-14,Mobile,Direct,15,3.19,1,0
S0000211,C04422,2026-03-24,Desktop,Social,2,34.75,1,1
S0000212,C03920,2024-09-30,Mobile,Email,2,35.22,0,0
S0000213,C00033,2025-12-22,Desktop,Paid Ads,12,14.99,0,0
S0000214,C04887,2026-01-10,Mobile,Paid Ads,1,29.73,0,0
S0000215,C04679,2024-12-03,Tablet,Direct,20,8.29,1,0
S0000216,C04610,2026-03-01,Desktop,Social,14,6.3,0,0
S0000217,C00281,2025-07-08,Mobile,Direct,4,38.33,0,0
S0000218,C02796,2025-05-26,Desktop,Direct,1,29.61,0,1
S0000219,C04960,2025-12-26,Desktop,Social,22,9.51,0,0
S0000220,C04281,2025-02-10,Mobile,Social,21,31.05,0,1
S0000221,C01485,2025-02-08,Desktop,Social,4,22.61,0,0
S0000222,C03389,2026-03-26,Mobile,Email,12,16.46,0,0
S0000223,C04731,2025-04-03,Mobile,Referral,1,22.98,1,1
S0000224,C03482,2025-03-26,Mobile,Direct,11,32.38,0,0
S0000225,C00769,2025-08-13,Mobile,Paid Ads,7,23.06,0,0
S0000226,C01923,2025-11-23,Desktop,Email,19,22.83,1,0
S0000227,C04531,2025-03-13,Mobile,Organic,18,8.11,1,1
S0000228,C02499,2024-06-06,Mobile,Referral,2,2.47,0,0
S0000229,C01861,2025-05-05,Mobile,Social,19,18.07,1,1
S0000230,C02197,2025-11-16,Mobile,Paid Ads,12,5.47,1,0
S0000231,C02090,2025-12-10,Mobile,Referral,13,39.66,0,0
S0000232,C03621,2025-04-15,Desktop,Social,23,6.68,1,1
S0000233,C02146,2025-11-01,Desktop,Direct,16,24.99,0,0
S0000234,C03156,2024-02-10,Desktop,Direct,18,38.26,1,1
S0000235,C02166,2025-01-12,Mobile,Social,20,39.51,0,0
S0000236,C04471,2024-11-08,Mobile,Referral,16,29.69,0,0
S0000237,C00116,2025-01-18,Mobile,Organic,11,9.45,0,0
S0000238,C01758,2024-12-16,Mobile,Direct,23,17.54,1,1
S0000239,C04927,2025-10-04,Mobile,Email,13,39.04,0,0
S0000240,C01689,2025-05-02,Mobile,Referral,21,11.8,0,0
S0000241,C02995,2024-12-09,Desktop,Social,7,11.62,0,1
S0000242,C00071,2025-10-18,Mobile,Direct,20,4.6,0,0
S0000243,C01075,2026-03-25,Desktop,Paid Ads,24,20.17,1,0
S0000244,C03177,2025-03-15,Mobile,Referral,15,7.61,0,0
S0000245,C00932,2026-03-04,Desktop,Social,2,10.64,1,1
S0000246,C01082,2024-09-21,Desktop,Direct,20,18.11,0,0
S0000247,C01635,2024-04-14,Desktop,Social,9,5.79,1,1
S0000248,C03328,2024-08-21,Desktop,Organic,8,14.75,1,1
S0000249,C03456,2025-03-03,Mobile,Direct,21,32.33,0,0
S0000250,C00779,2026-02-09,Mobile,Paid Ads,22,12.6,0,0
S0000251,C04821,2024-06-11,Mobile,Social,9,29.77,0,0
S0000252,C04540,2026-03-19,Mobile,Organic,2,37.54,0,0
S0000253,C01931,2025-09-24,Desktop,Paid Ads,15,17.08,1,0
S0000254,C00138,2026-03-21,Mobile,Email,16,14.8,0,0
S0000255,C03586,2025-09-02,Desktop,Direct,3,20.61,0,0
S0000256,C03827,2025-10-25,Desktop,Social,18,20.75,1,0
S0000257,C00103,2024-06-27,Mobile,Social,15,39.11,1,0
S0000258,C00539,2025-12-08,Desktop,Email,14,15.76,1,0
S0000259,C01798,2025-11-14,Mobile,Direct,8,22.93,0,0
S0000260,C01543,2023-10-05,Desktop,Referral,14,25.27,1,1
S0000261,C00941,2024-07-14,Mobile,Paid Ads,13,14.25,1,0
S0000262,C02680,2025-10-10,Mobile,Direct,21,30.17,0,0
S0000263,C03011,2026-01-16,Mobile,Social,23,24.17,1,1
S0000264,C00949,2024-12-02,Mobile,Direct,5,7.3,0,0
S0000265,C02642,2026-02-19,Mobile,Organic,8,20.67,0,0
S0000266,C00148,2026-02-01,Mobile,Organic,16,18.66,0,0
S0000267,C02989,2025-10-28,Desktop,Paid Ads,23,37.08,0,0
S0000268,C00816,2026-02-26,Desktop,Paid Ads,4,39.03,0,0
S0000269,C00677,2023-11-14,Desktop,Referral,6,12.8,0,0
S0000270,C01412,2024-03-25,Desktop,Referral,3,29.88,1,0
S0000271,C04910,2024-10-15,Desktop,Referral,11,32.24,0,0
S0000272,C02045,2025-07-24,Desktop,Organic,18,8.49,1,1
S0000273,C02654,2024-08-26,Desktop,Email,20,21.89,0,0
S0000274,C01044,2024-05-28,Mobile,Direct,20,23.61,1,1
S0000275,C02103,2026-03-03,Tablet,Organic,23,25.37,1,0
S0000276,C00721,2025-12-02,Mobile,Email,24,9.46,0,0
S0000277,C01280,2025-04-13,Desktop,Referral,18,29.09,1,1
S0000278,C01444,2025-04-15,Desktop,Email,6,19.21,1,0
S0000279,C03636,2025-03-11,Desktop,Direct,14,20.02,1,0
S0000280,C01059,2025-12-14,Desktop,Direct,1,12.97,0,1
S0000281,C01596,2024-09-28,Mobile,Paid Ads,1,39.16,1,0
S0000282,C00716,2026-03-13,Mobile,Social,21,2.21,0,0
S0000283,C00734,2024-04-13,Mobile,Referral,17,8.76,0,0
S0000284,C03070,2024-05-08,Desktop,Referral,6,27.94,0,0
S0000285,C02749,2025-08-28,Desktop,Email,13,33.8,0,0
S0000286,C02895,2026-01-18,Mobile,Direct,13,23.43,0,0
S0000287,C01825,2024-11-20,Desktop,Referral,14,1.68,1,0
S0000288,C00309,2024-11-10,Desktop,Direct,13,30.08,1,1
S0000289,C02642,2026-02-11,Mobile,Paid Ads,20,26.04,1,0
S0000290,C00703,2026-02-06,Desktop,Referral,16,5.56,0,0
S0000291,C00552,2025-10-06,Mobile,Referral,13,19.03,1,1
S0000292,C03650,2024-02-19,Desktop,Paid Ads,11,7.89,0,0
S0000293,C01557,2024-07-02,Mobile,Email,11,11.43,0,0
S0000294,C03373,2025-12-05,Desktop,Organic,23,31.71,0,0
S0000295,C01594,2024-05-18,Tablet,Social,17,16.32,1,1
S0000296,C02013,2024-11-26,Mobile,Referral,21,3.71,0,0
S0000297,C01223,2025-02-01,Mobile,Paid Ads,18,13.2,1,1
S0000298,C03316,2026-03-15,Desktop,Paid Ads,16,1.1,1,1
S0000299,C03974,2025-07-01,Mobile,Referral,5,20.1,1,1
S0000300,C04912,2024-06-02,Mobile,Organic,17,15.97,1,1
S0000301,C03575,2026-01-14,Mobile,Paid Ads,4,10.25,0,1
S0000302,C02675,2024-01-07,Desktop,Organic,21,25.53,1,1
S0000303,C04974,2025-08-02,Mobile,Organic,1,4.04,1,0
S0000304,C03180,2026-03-02,Desktop,Email,4,10.87,0,0
S0000305,C03711,2024-07-02,Mobile,Direct,13,15.4,1,0
S0000306,C00100,2023-08-06,Tablet,Organic,21,28.87,0,0
S0000307,C02100,2025-12-19,Mobile,Paid Ads,23,13.04,0,0
S0000308,C04128,2024-07-26,Mobile,Organic,22,10.76,0,0
S0000309,C04049,2024-02-28,Desktop,Email,2,14.47,1,0
S0000310,C00741,2025-06-14,Desktop,Social,13,33.39,1,0
S0000311,C00425,2026-02-11,Mobile,Organic,15,34.44,1,0
S0000312,C01987,2026-03-18,Mobile,Referral,15,14.03,0,0
S0000313,C03683,2024-10-31,Desktop,Social,14,14.13,0,0
S0000314,C00027,2024-04-19,Mobile,Paid Ads,3,2.23,0,0
S0000315,C03185,2023-11-03,Mobile,Social,20,8.56,1,1
S0000316,C04271,2024-08-09,Mobile,Organic,15,20.9,0,0
S0000317,C00882,2026-01-28,Tablet,Referral,8,35.7,1,0
S0000318,C03173,2026-03-17,Desktop,Social,8,11.46,0,0
S0000319,C03724,2025-12-19,Mobile,Organic,8,4.1,0,0
S0000320,C00822,2023-12-06,Mobile,Direct,8,1.71,0,0
S0000321,C04421,2025-07-16,Desktop,Organic,18,6.85,0,0
S0000322,C04531,2025-07-07,Desktop,Direct,17,36.65,1,1
S0000323,C02361,2025-04-02,Tablet,Paid Ads,12,12.14,1,1
S0000324,C01937,2025-12-31,Mobile,Email,20,9.29,0,0
S0000325,C01217,2026-03-18,Mobile,Social,17,32.54,0,0
S0000326,C00981,2025-11-15,Mobile,Direct,10,26.38,1,1
S0000327,C02424,2025-10-25,Mobile,Direct,21,21.43,1,1
S0000328,C03682,2025-11-25,Mobile,Email,10,21.98,1,1
S0000329,C03034,2024-01-23,Mobile,Referral,8,15.87,1,1
S0000330,C00163,2025-11-23,Desktop,Direct,19,16.72,1,1
S0000331,C04685,2023-07-12,Tablet,Paid Ads,3,33.92,0,0
S0000332,C00366,2025-04-23,Mobile,Paid Ads,16,17.98,0,0
S0000333,C04402,2025-07-23,Mobile,Direct,12,20.49,1,0
S0000334,C00596,2024-04-12,Tablet,Email,20,32.34,0,0
S0000335,C03527,2025-05-05,Desktop,Direct,16,18.02,0,0
S0000336,C00828,2024-05-29,Mobile,Paid Ads,16,14.47,0,0
S0000337,C00748,2025-11-05,Desktop,Direct,8,24.92,0,0
S0000338,C03527,2024-08-06,Mobile,Direct,2,35.37,1,0
S0000339,C04101,2026-01-30,Mobile,Referral,10,13.92,1,1
S0000340,C00535,2025-06-22,Desktop,Email,11,8.28,1,1
S0000341,C04872,2025-12-29,Mobile,Direct,6,17.49,1,1
S0000342,C00904,2025-01-13,Desktop,Social,2,1.47,0,0
S0000343,C01518,2025-08-23,Mobile,Direct,23,34.03,1,0
S0000344,C00976,2024-05-23,Mobile,Referral,24,38.49,1,1
S0000345,C00941,2025-07-21,Mobile,Organic,2,11.94,0,0
S0000346,C01517,2025-12-19,Desktop,Organic,6,21.26,1,1
S0000347,C04673,2026-03-13,Mobile,Social,14,25.78,0,0
S0000348,C02721,2024-04-04,Mobile,Organic,7,4.37,1,1
S0000349,C02304,2023-11-30,Desktop,Social,7,3.34,1,0
S0000350,C03097,2025-04-14,Desktop,Paid Ads,1,32.45,0,0
S0000351,C03358,2026-01-26,Desktop,Social,10,5.07,1,1
S0000352,C03329,2024-11-08,Desktop,Organic,1,29.48,1,1
S0000353,C01244,2024-10-25,Tablet,Paid Ads,15,1.25,0,0
S0000354,C04171,2025-02-17,Mobile,Paid Ads,18,23.4,0,0
S0000355,C04301,2024-09-10,Mobile,Referral,9,7.07,0,0
S0000356,C04671,2026-03-27,Mobile,Referral,14,18.28,0,0
S0000357,C03131,2025-10-03,Mobile,Direct,6,21.2,0,0
S0000358,C01986,2024-09-08,Mobile,Direct,6,36.1,0,0
S0000359,C00463,2024-12-10,Desktop,Direct,4,37.58,0,0
S0000360,C00251,2025-12-19,Mobile,Social,23,7.35,0,0
S0000361,C04600,2024-06-01,Mobile,Referral,20,16.08,0,0
S0000362,C01625,2025-12-31,Desktop,Organic,8,23.68,1,1
S0000363,C04049,2023-08-25,Desktop,Organic,13,16.9,1,1
S0000364,C02363,2023-10-25,Mobile,Social,3,1.76,0,0
S0000365,C02500,2024-04-02,Mobile,Organic,14,24.76,0,0
S0000366,C02802,2025-10-05,Tablet,Paid Ads,19,28.08,0,0
S0000367,C00373,2025-10-21,Mobile,Social,17,10.68,0,0
S0000368,C01977,2026-03-19,Mobile,Email,8,20.2,0,0
S0000369,C01370,2026-02-22,Desktop,Email,4,35.92,0,0
S0000370,C00837,2025-10-03,Mobile,Organic,3,6.42,0,0
S0000371,C04569,2026-02-25,Mobile,Referral,16,22.33,0,0
S0000372,C01469,2025-12-01,Mobile,Email,9,5.86,0,0
S0000373,C00440,2023-10-31,Mobile,Direct,13,37.04,0,0
S0000374,C03378,2025-05-13,Mobile,Referral,23,35.47,1,0
S0000375,C01577,2025-06-04,Mobile,Paid Ads,11,33.01,1,0
S0000376,C00599,2025-01-22,Mobile,Referral,11,24.69,0,0
S0000377,C04710,2026-01-03,Desktop,Paid Ads,6,38.17,1,1
S0000378,C00112,2026-01-29,Desktop,Social,18,28.67,0,0
S0000379,C02355,2026-01-28,Desktop,Referral,6,16.77,1,1
S0000380,C03196,2025-04-30,Mobile,Email,10,9.06,1,1
S0000381,C03262,2025-12-15,Mobile,Organic,12,19.24,0,0
S0000382,C03840,2025-04-11,Desktop,Direct,4,33.03,1,1
S0000383,C01534,2025-01-01,Desktop,Email,17,2.47,0,0
S0000384,C00255,2025-02-02,Tablet,Email,15,30.23,1,1
S0000385,C03305,2025-05-02,Mobile,Email,6,3.55,1,0
S0000386,C03336,2025-07-24,Mobile,Paid Ads,16,2.83,0,0
S0000387,C03795,2026-03-27,Desktop,Paid Ads,9,3.35,1,0
S0000388,C00094,2025-12-18,Mobile,Referral,6,16.67,0,0
S0000389,C03966,2023-09-27,Mobile,Organic,14,33.01,0,0
S0000390,C04374,2026-01-28,Desktop,Organic,8,10.6,0,0
S0000391,C03472,2026-03-11,Mobile,Referral,10,38.73,0,0
S0000392,C04895,2026-03-24,Mobile,Social,22,23.19,0,0
S0000393,C01643,2025-09-15,Mobile,Email,18,10.68,0,0
S0000394,C00576,2024-04-21,Mobile,Email,16,1.96,1,1
S0000395,C00421,2024-04-16,Desktop,Email,8,31.96,0,0
