review_id,customer_id,product_id,order_id,rating,review_date
R000262,C03293,P00903,O024599,5,2025-10-18
R000263,C04098,P00882,O018448,4,2025-09-29
R000264,C03814,P00038,O004947,5,2025-11-10
R000265,C04440,P00935,O001606,5,2023-12-27
R000266,C00614,P00035,O018866,5,2026-02-26
R000267,C01422,P00894,O012543,4,2024-02-23
R000268,C03937,P00828,O022335,5,2023-03-01
R000269,C02967,P00693,O008346,4,2025-03-29
R000270,C04436,P00781,O017977,5,2024-03-04
R000271,C03151,P00805,O013878,3,2023-01-18
R000272,C04333,P00437,O015968,5,2023-12-14
R000273,C04090,P00169,O024859,3,2023-04-06
R000274,C01897,P00945,O007296,5,2024-11-06
R000275,C04106,P00550,O011418,3,2024-02-23
R000276,C01182,P00916,O018130,5,2024-10-22
R000277,C04571,P00953,O021565,2,2024-02-18
R000278,C02344,P00256,O014358,4,2025-05-10
R000279,C04626,P00066,O023740,5,2025-04-24
R000280,C01181,P00819,O000094,4,2026-02-21
R000281,C02998,P00331,O020317,2,2026-02-18
R000282,C00875,P00145,O003047,4,2025-08-24
R000283,C00816,P00603,O014359,3,2024-09-17
R000284,C02615,P00184,O002621,5,2024-12-29
R000285,C04334,P00172,O023789,4,2024-04-06
R000286,C02503,P00276,O024270,5,2026-01-12
R000287,C04014,P00718,O010233,5,2023-06-17
R000288,C01759,P00085,O021250,2,2025-02-05
R000289,C03226,P00885,O011082,5,2023-10-20
R000290,C02427,P00662,O015345,3,2025-10-24
R000291,C00104,P00435,O010615,5,2024-12-20
R000292,C02342,P00733,O004644,5,2025-08-03
R000293,C03399,P00893,O021510,5,2023-02-07
R000294,C02562,P00833,O020167,2,2025-03-30
R000295,C02985,P00504,O014647,2,2024-10-18
R000296,C00180,P00368,O008966,3,2025-02-22
R000297,C04007,P00290,O006760,4,2023-08-26
R000298,C00801,P00140,O007439,4,2026-01-01
R000299,C03810,P00595,O011092,4,2025-05-24
R000300,C02773,P00642,O012074,5,2024-12-16
R000301,C02963,P00172,O006052,5,2023-10-11
R000302,C00456,P00196,O002034,5,2024-05-29
R000303,C04929,P00559,O002147,3,2023-07-11
R000304,C00621,P00783,O006076,5,2025-03-01
R000305,C04363,P00147,O012302,2,2025-05-26
R000306,C02240,P00048,O005537,5,2024-05-07
R000307,C02698,P00082,O013383,5,2023-03-07
R000308,C01219,P00130,O019387,4,2024-05-06
R000309,C03458,P00934,O009841,5,2024-03-22
R000310,C02259,P00052,O018206,4,2025-07-09
R000311,C03266,P00481,O022238,5,2023-01-05
R000312,C01188,P00021,O004566,5,2023-10-08
R000313,C01964,P00699,O011421,5,2023-07-01
R000314,C03017,P00193,O015318,5,2025-12-21
R000315,C02881,P00279,O012634,4,2024-11-19
R000316,C02178,P00329,O020125,4,2024-12-04
R000317,C01850,P00745,O008380,4,2023-04-25
R000318,C02467,P00852,O008964,5,2023-03-27
R000319,C03875,P00885,O007920,3,2025-06-10
R000320,C04790,P00852,O006325,1,2023-08-13
R000321,C02891,P00388,O012009,4,2024-01-17
R000322,C02349,P00291,O015197,4,2024-11-08
R000323,C04150,P00362,O015775,5,2023-02-09
R000324,C04479,P00454,O009908,5,2023-01-25
R000325,C01892,P00582,O006589,1,2023-10-13
R000326,C03414,P00879,O023166,4,2023-09-15
R000327,C02387,P00426,O017712,3,2025-05-09
R000328,C04617,P00979,O006960,5,2025-12-11
R000329,C00826,P00180,O008664,4,2024-01-13
R000330,C01760,P00729,O020767,4,2024-08-22
R000331,C02689,P00331,O008015,4,2024-08-22
R000332,C03083,P00984,O000339,2,2024-11-04
R000333,C03187,P00384,O024797,5,2023-10-13
R000334,C02685,P00189,O019229,4,2026-02-10
R000335,C00283,P00844,O002212,2,2023-08-02
R000336,C02920,P00257,O007225,4,2024-03-03
R000337,C04392,P00438,O005194,5,2024-10-12
R000338,C02302,P00350,O003042,3,2024-02-26
R000339,C03680,P00259,O001195,3,2023-10-26
R000340,C01827,P00618,O009257,2,2024-12-05
R000341,C02556,P00397,O024490,5,2025-05-03
R000342,C03680,P00510,O000860,5,2024-02-12
R000343,C04492,P00774,O019015,2,2024-01-15
R000344,C00733,P00306,O018439,5,2024-09-23
R000345,C02670,P00668,O012960,4,2023-02-20
R000346,C01812,P00536,O017403,4,2023-08-03
R000347,C04291,P00586,O005212,5,2025-09-12
R000348,C01279,P00247,O015830,2,2025-05-31
R000349,C01511,P00091,O010929,4,2025-09-06
R000350,C00291,P00912,O005603,4,2024-08-21
R000351,C00052,P00767,O006699,4,2023-01-30
R000352,C03086,P00786,O017147,2,2023-11-09
R000353,C03814,P00240,O024974,1,2026-02-27
R000354,C01876,P00868,O024117,5,2025-07-05
R000355,C02850,P00912,O011152,5,2026-01-06
R000356,C04874,P00061,O014946,5,2024-03-31
R000357,C04293,P00841,O005694,5,2023-09-18
R000358,C04942,P00723,O017052,3,2025-03-17
R000359,C02900,P00274,O006085,3,2023-03-06
R000360,C01365,P00695,O021245,2,2025-08-22
R000361,C01473,P00209,O017719,3,2023-01-20
R000362,C02128,P00659,O007001,3,2026-02-21
R000363,C00957,P00033,O009626,5,2025-07-26
R000364,C02023,P00372,O009275,4,2025-09-23
R000365,C02198,P00358,O019467,2,2025-12-29
R000366,C00526,P00857,O004677,3,2024-02-14
R000367,C03648,P00062,O012569,5,2023-10-05
R000368,C00176,P00984,O015920,3,2024-04-07
R000369,C04481,P00590,O022950,1,2024-01-18
R000370,C00559,P00429,O011590,4,2023-11-04
R000371,C02823,P00402,O000985,5,2025-10-08
R000372,C02207,P00766,O012648,4,2024-08-30
R000373,C01643,P00464,O002533,5,2024-06-30
R000374,C02056,P00484,O024350,1,2024-02-28
R000375,C04051,P00271,O018052,4,2024-05-23
R000376,C04839,P00942,O012247,5,2024-12-27
R000377,C02499,P00407,O002802,4,2023-04-18
R000378,C00123,P00626,O010759,1,2024-08-28
R000379,C03593,P00212,O000763,5,2025-03-27
R000380,C03392,P00072,O016421,2,2024-07-08
R000381,C03714,P00684,O013531,5,2024-05-02
R000382,C00335,P00797,O000741,4,2024-09-04
R000383,C02491,P00944,O003466,5,2025-10-14
R000384,C03592,P00175,O015354,5,2023-06-22
R000385,C03602,P00565,O008017,4,2025-11-08
R000386,C02116,P00129,O006362,2,2023-12-31
R000387,C02726,P00456,O020564,4,2026-02-25
R000388,C01242,P00571,O014114,5,2025-11-24
R000389,C00960,P00899,O009941,4,2024-01-05
R000390,C01106,P00374,O021759,5,2025-11-07
R000391,C03748,P00506,O000034,5,2023-04-04
R000392,C02085,P00019,O012102,5,2026-01-24
R000393,C04310,P00999,O009758,3,2024-04-22
R000394,C04220,P00653,O020205,2,2025-04-02
R000395,C01235,P00257,O006221,1,2024-02-04
R000396,C00769,P00368,O000149,4,2023-09-25
R000397,C04795,P00944,O007129,5,2026-01-22
R000398,C02429,P00666,O013033,5,2023-06-16
R000399,C00364,P00733,O005403,4,2024-04-09
R000400,C03243,P00713,O020198,2,2024-09-04
R000401,C02384,P00045,O011023,3,2023-06-03
R000402,C02150,P00405,O003651,4,2023-09-14
R000403,C02603,P00064,O005202,3,2023-01-04
R000404,C01933,P00935,O017523,4,2024-10-26
R000405,C04266,P00183,O012856,1,2025-03-21
R000406,C00357,P00106,O016546,4,2025-01-05
R000407,C00192,P00212,O016840,4,2025-10-07
R000408,C00763,P00247,O002623,3,2023-04-15
R000409,C02742,P00107,O002641,3,2024-03-13
R000410,C01293,P00846,O009814,4,2024-06-11
R000411,C02324,P00944,O001913,4,2025-02-19
R000412,C04977,P00528,O005520,5,2023-05-09
R000413,C00818,P00688,O006714,2,2024-03-23
R000414,C04051,P00157,O019819,3,2025-07-24
R000415,C00224,P00941,O011967,4,2024-04-26
R000416,C01369,P00459,O021357,4,2024-09-10
R000417,C03558,P00947,O003603,1,2024-08-30
R000418,C01977,P00602,O004526,4,2026-03-25
R000419,C03205,P00718,O018902,4,2023-07-15
R000420,C02708,P00641,O016420,5,2024-09-05
R000421,C00149,P00118,O017449,5,2025-05-20
R000422,C03603,P00247,O003780,3,2023-05-09
R000423,C00440,P00276,O012507,5,2024-07-06
R000424,C03474,P00893,O017363,3,2023-10-02
R000425,C02696,P00048,O006263,5,2024-03-10
R000426,C04663,P00059,O000267,1,2025-02-15
R000427,C04736,P00195,O019392,4,2024-11-27
R000428,C00982,P00255,O021194,5,2024-04-20
R000429,C02824,P00898,O015410,4,2024-02-03
R000430,C04612,P00660,O006392,3,2023-11-27
R000431,C04404,P00932,O005635,2,2026-02-14
R000432,C01818,P00736,O016880,1,2023-05-04
R000433,C04184,P00570,O010027,3,2025-06-03
R000434,C02594,P00631,O006102,4,2023-04-23
R000435,C02271,P00298,O013271,2,2025-01-01
R000436,C03843,P00016,O022344,4,2025-11-16
R000437,C00721,P00912,O005314,4,2024-10-13
R000438,C04831,P00569,O005365,5,2024-11-15
R000439,C03240,P00473,O004878,5,2026-03-20
R000440,C04648,P00756,O006709,4,2023-07-03
R000441,C03465,P00978,O023134,5,2023-04-25
R000442,C02964,P00361,O008956,5,2023-09-24
R000443,C01882,P00306,O020621,5,2023-12-18
R000444,C01667,P00142,O017019,4,2025-07-17
R000445,C00160,P00191,O021289,4,2025-07-20
R000446,C01117,P00036,O009269,4,2023-03-23
R000447,C00936,P00802,O010012,1,2026-02-26
R000448,C00505,P00835,O002694,4,2023-10-12
R000449,C01626,P00155,O023862,5,2024-01-31
R000450,C00413,P00376,O013862,4,2024-03-23
R000451,C04595,P00616,O016109,1,2026-01-08
R000452,C03950,P00270,O018745,4,2023-10-12
R000453,C00571,P00582,O008221,3,2023-10-14
R000454,C02132,P00351,O007287,5,2024-01-10
R000455,C04034,P00929,O021375,1,2025-08-21
R000456,C02640,P00865,O010016,5,2024-06-04
R000457,C03490,P00803,O009517,2,2025-04-11
R000458,C03412,P00231,O005514,1,2024-08-03
R000459,C02505,P00466,O015526,4,2023-01-21
R000460,C00048,P00870,O010657,4,2024-02-18
R000461,C04376,P00527,O017392,4,2024-03-24
R000462,C01017,P00903,O022101,1,2024-03-07
R000463,C02047,P00396,O024670,3,2023-10-19
R000464,C04430,P00752,O001533,4,2023-06-19
R000465,C04757,P00424,O001408,3,2025-12-16
R000466,C00221,P00643,O005671,3,2025-03-23
R000467,C03450,P00179,O007200,3,2024-10-23
R000468,C01450,P00057,O020823,4,2024-02-16
R000469,C00273,P00370,O019609,5,2024-10-24
R000470,C01186,P00815,O023187,1,2025-07-17
R000471,C02732,P00248,O011052,4,2026-03-01
R000472,C04478,P00055,O011465,2,2023-04-14
R000473,C00713,P00961,O001827,5,2024-07-22
R000474,C02111,P00561,O019494,5,2025-03-16
R000475,C02941,P00293,O022182,4,2023-04-01
R000476,C03282,P00256,O006183,4,2023-03-16
R000477,C03165,P00324,O023510,3,2024-02-27
R000478,C03928,P00573,O002250,5,2026-03-08
R000479,C03792,P00485,O015032,1,2023-01-01
R000480,C03919,P00690,O012170,3,2023-08-13
R000481,C02022,P00164,O011447,5,2023-08-10
R000482,C00697,P00836,O011175,5,2024-03-31
R000483,C04673,P00002,O016976,4,2024-05-01
R000484,C02220,P00731,O011419,5,2023-05-17
R000485,C03654,P00217,O017149,5,2024-08-30
R000486,C03556,P00373,O021423,3,2025-01-26
R000487,C02479,P00797,O022117,2,2025-11-05
R000488,C01312,P00405,O022798,5,2026-01-10
R000489,C01032,P00474,O019669,3,2024-10-06
R000490,C02178,P00714,O001969,4,2026-03-15
R000491,C03023,P00922,O024403,3,2025-04-11
R000492,C02375,P00986,O007800,3,2024-07-11
R000493,C04412,P00384,O015801,4,2025-11-19
R000494,C02887,P00218,O007881,5,2024-03-24
R000495,C02388,P00619,O018518,4,2024-09-15
R000496,C04206,P00572,O016941,5,2023-11-26
R000497,C04521,P00004,O015546,5,2023-02-24
R000498,C01560,P00950,O002798,5,2024-12-16
R000499,C03834,P00446,O022625,3,2025-01-30
R000500,C03170,P00633,O011283,4,2025-11-12
R000501,C02390,P00580,O005602,4,2025-09-13
R000502,C02406,P00263,O012958,5,2025-02-20
R000503,C01386,P00241,O017070,2,2024-04-24
R000504,C03788,P00466,O021489,4,2023-12-23
R000505,C01519,P00997,O022001,4,2026-03-06
R000506,C01353,P00094,O004650,4,2024-03-14
R000507,C00703,P00738,O023354,4,2025-12-20
R000508,C03699,P00969,O001147,4,2025-11-08
R000509,C01588,P00602,O006738,3,2025-03-26
R000510,C03768,P00725,O015135,4,2023-08-15
R000511,C02385,P00308,O006077,2,2025-12-28
R000512,C01084,P00609,O016328,3,2024-08-07
R000513,C02193,P00980,O010538,5,2025-05-04
R000514,C02187,P00896,O008713,5,2025-11-10
R000515,C02365,P00628,O015073,5,2024-11-11
R000516,C01736,P00040,O014646,5,2024-10-21
R000517,C01929,P00785,O017190,4,2023-03-03
R000518,C01608,P00486,O011983,4,2023-06-17
R000519,C03172,P00849,O019780,5,2024-09-14
R000520,C03374,P00091,O020251,5,2024-08-07
R000521,C00312,P00227,O002168,1,2024-01-30
R000522,C02774,P00969,O004827,4,2023-09-22
R000523,C02929,P00976,O012719,5,2023-11-09
R000524,C04192,P00956,O010519,2,2024-12-09
R000525,C03913,P00190,O015746,4,2025-07-21
R000526,C01465,P00688,O011856,4,2023-06-23
R000527,C03366,P00993,O013747,4,2025-05-27
R000528,C00515,P00973,O016466,5,2025-05-14
R000529,C04819,P00646,O015848,5,2025-09-14
R000530,C03741,P00611,O010061,4,2024-10-03
R000531,C00245,P00296,O004695,5,2024-01-30
R000532,C04310,P00611,O013347,4,2025-03-01
R000533,C01756,P00262,O001259,5,2024-08-07
R000534,C03861,P00262,O019219,3,2025-09-30
R000535,C04201,P00329,O002994,4,2023-07-14
R000536,C04563,P00712,O022404,3,2025-12-24
R000537,C01673,P00960,O011335,4,2023-04-11
R000538,C04015,P00026,O015478,4,2024-09-05
R000539,C04124,P00210,O008025,4,2025-10-11
R000540,C03021,P00098,O010901,5,2023-10-05
R000541,C00039,P00523,O001399,3,2024-09-30
R000542,C00242,P00982,O004401,5,2024-08-12
R000543,C00119,P00614,O016579,5,2024-10-26
R000544,C00812,P00494,O006381,4,2025-11-28
R000545,C04443,P00971,O015565,2,2024-08-24
R000546,C04510,P00733,O015502,5,2023-03-15
R000547,C04243,P00397,O014396,3,2025-12-11
R000548,C01785,P00666,O020684,5,2023-06-21
R000549,C00136,P00018,O010839,4,2025-11-13
R000550,C04579,P00072,O007328,5,2025-04-30
R000551,C04727,P00590,O023072,1,2026-01-08
R000552,C02846,P00232,O023121,5,2023-03-01
R000553,C00377,P00372,O002680,3,2025-08-14
R000554,C00515,P00302,O005605,3,2024-07-05
R000555,C03766,P00455,O006010,5,2023-06-11
R000556,C04113,P00439,O016605,3,2024-07-05
R000557,C04210,P00526,O022781,4,2025-05-12
R000558,C01599,P00917,O012313,5,2024-03-30
