order_id,customer_id,order_date,status,payment_method,delivery_type
O000386,C04502,2026-03-14,completed,Card,Courier
O000387,C01070,2025-01-16,completed,Online Wallet,Courier
O000388,C04463,2025-10-31,completed,Installment,Courier
O000389,C04090,2024-09-16,completed,Online Wallet,Pickup Point
O000390,C04421,2025-11-10,completed,Online Wallet,Post
O000391,C02259,2026-01-23,completed,Card,Pickup Point
O000392,C02577,2023-06-07,completed,Online Wallet,Pickup Point
O000393,C02100,2026-02-23,completed,Installment,Pickup Point
O000394,C02134,2025-08-18,completed,Cash,Post
O000395,C02877,2025-01-12,completed,Cash,Post
O000396,C02217,2025-05-03,completed,Cash,Pickup Point
O000397,C02651,2026-02-15,completed,Cash,Post
O000398,C01304,2024-08-30,completed,Card,Courier
O000399,C01899,2025-05-05,completed,Card,Courier
O000400,C00568,2026-02-04,completed,Card,Pickup Point
O000401,C03613,2024-07-30,completed,Cash,Courier
O000402,C03165,2025-11-01,completed,Cash,Pickup Point
O000403,C00264,2025-08-07,completed,Online Wallet,Courier
O000404,C01301,2025-01-23,returned,Cash,Post
O000405,C01381,2026-02-15,completed,Online Wallet,Post
O000406,C04613,2026-03-30,completed,Online Wallet,Pickup Point
O000407,C00465,2024-12-10,completed,Installment,Courier
O000408,C02603,2025-02-27,completed,Installment,Post
O000409,C00156,2024-01-02,completed,Cash,Pickup Point
O000410,C03118,2025-02-09,returned,Installment,Pickup Point
O000411,C04850,2026-01-13,cancelled,Card,Post
O000412,C02286,2025-09-26,completed,Card,Courier
O000413,C02794,2024-09-10,completed,Cash,Pickup Point
O000414,C04821,2023-09-06,completed,Online Wallet,Pickup Point
O000415,C01752,2023-11-25,completed,Cash,Pickup Point
O000416,C02484,2024-03-05,completed,Card,Pickup Point
O000417,C02490,2024-07-06,returned,Cash,Post
O000418,C03528,2025-10-23,completed,Installment,Pickup Point
O000419,C00219,2024-08-10,completed,Cash,Courier
O000420,C01969,2025-05-17,completed,Card,Courier
O000421,C02934,2025-01-22,completed,Card,Post
O000422,C02086,2025-10-27,completed,Cash,Courier
O000423,C02482,2025-06-18,completed,Cash,Courier
O000424,C02889,2025-07-24,completed,Cash,Pickup Point
O000425,C01106,2025-04-20,completed,Cash,Pickup Point
O000426,C00089,2025-03-09,completed,Cash,Post
O000427,C03186,2026-01-06,completed,Card,Post
O000428,C04672,2023-10-25,completed,Card,Courier
O000429,C04292,2025-11-21,completed,Online Wallet,Post
O000430,C02973,2026-03-30,completed,Online Wallet,Pickup Point
O000431,C02922,2025-09-06,cancelled,Cash,Post
O000432,C01679,2025-07-16,completed,Installment,Post
O000433,C00016,2025-09-09,completed,Cash,Courier
O000434,C00119,2026-03-11,completed,Online Wallet,Courier
O000435,C02255,2025-05-31,completed,Online Wallet,Pickup Point
O000436,C04133,2025-04-13,completed,Cash,Courier
O000437,C00130,2025-10-21,completed,Installment,Pickup Point
O000438,C00506,2025-09-26,completed,Online Wallet,Post
O000439,C02677,2026-02-18,completed,Card,Post
O000440,C04027,2026-03-01,completed,Installment,Pickup Point
O000441,C03782,2024-09-07,completed,Card,Courier
O000442,C01517,2024-04-24,completed,Online Wallet,Post
O000443,C00977,2024-06-24,cancelled,Installment,Courier
O000444,C04062,2025-07-31,completed,Installment,Post
O000445,C00534,2025-05-25,completed,Online Wallet,Pickup Point
O000446,C04140,2024-11-17,completed,Card,Post
O000447,C01725,2024-02-19,completed,Cash,Courier
O000448,C03655,2025-12-05,cancelled,Cash,Courier
O000449,C02123,2024-02-10,completed,Card,Post
O000450,C03982,2026-03-28,completed,Card,Post
O000451,C04797,2026-03-06,completed,Cash,Courier
O000452,C03000,2025-07-01,completed,Card,Pickup Point
O000453,C04871,2026-01-07,cancelled,Installment,Courier
O000454,C00572,2023-10-15,completed,Online Wallet,Pickup Point
O000455,C00597,2025-08-26,cancelled,Installment,Post
O000456,C04326,2024-12-15,completed,Installment,Post
O000457,C02347,2026-03-10,cancelled,Cash,Courier
O000458,C04563,2025-12-23,cancelled,Online Wallet,Pickup Point
O000459,C00905,2026-01-09,completed,Cash,Pickup Point
O000460,C04388,2024-08-01,completed,Installment,Post
O000461,C02923,2025-08-23,completed,Card,Courier
O000462,C04220,2024-01-02,completed,Installment,Pickup Point
O000463,C01954,2024-07-19,cancelled,Installment,Courier
O000464,C02672,2025-10-09,completed,Cash,Post
O000465,C00443,2025-01-06,completed,Cash,Post
O000466,C03389,2026-03-07,completed,Online Wallet,Courier
O000467,C02053,2025-12-09,completed,Card,Pickup Point
O000468,C01579,2025-12-09,completed,Installment,Pickup Point
O000469,C02903,2025-02-02,completed,Installment,Pickup Point
O000470,C00442,2024-11-25,cancelled,Cash,Pickup Point
O000471,C04850,2026-02-16,completed,Cash,Pickup Point
O000472,C01879,2023-09-04,completed,Card,Post
O000473,C02915,2024-07-02,completed,Online Wallet,Courier
O000474,C02046,2025-04-09,cancelled,Online Wallet,Courier
O000475,C02138,2025-12-15,completed,Online Wallet,Courier
O000476,C03835,2024-10-01,completed,Cash,Post
O000477,C01886,2025-10-09,completed,Online Wallet,Courier
O000478,C00264,2025-03-03,completed,Card,Courier
O000479,C03866,2024-07-13,completed,Card,Post
O000480,C02547,2025-07-12,completed,Installment,Post
O000481,C02396,2025-10-21,completed,Card,Pickup Point
O000482,C01703,2025-07-04,completed,Cash,Courier
O000483,C04252,2023-02-04,completed,Card,Courier
O000484,C01197,2024-06-19,completed,Card,Courier
O000485,C02719,2023-09-24,completed,Cash,Courier
O000486,C03420,2025-08-29,cancelled,Online Wallet,Post
O000487,C01287,2025-03-28,completed,Cash,Pickup Point
O000488,C04518,2026-01-17,completed,Card,Courier
O000489,C03179,2025-10-21,completed,Cash,Courier
O000490,C03497,2025-01-31,completed,Installment,Post
O000491,C02410,2026-01-02,completed,Online Wallet,Pickup Point
O000492,C00731,2024-05-06,cancelled,Card,Pickup Point
O000493,C02369,2025-07-19,completed,Installment,Courier
O000494,C02381,2025-11-16,completed,Online Wallet,Pickup Point
O000495,C00011,2025-04-02,completed,Card,Pickup Point
O000496,C01530,2025-08-04,completed,Installment,Post
O000497,C01181,2025-10-16,completed,Installment,Post
O000498,C00929,2024-11-26,completed,Card,Pickup Point
O000499,C02234,2024-08-28,completed,Cash,Post
O000500,C04098,2025-02-09,completed,Cash,Pickup Point
O000501,C00572,2024-07-29,cancelled,Installment,Post
O000502,C01084,2025-05-31,completed,Cash,Pickup Point
O000503,C03498,2026-02-28,completed,Online Wallet,Pickup Point
O000504,C03057,2025-12-10,cancelled,Online Wallet,Courier
O000505,C03062,2025-10-01,cancelled,Card,Post
O000506,C00870,2026-01-28,completed,Card,Courier
O000507,C00974,2025-02-19,completed,Installment,Post
O000508,C02965,2024-04-01,completed,Installment,Pickup Point
O000509,C01322,2025-09-24,cancelled,Card,Courier
O000510,C04732,2025-03-14,completed,Installment,Courier
O000511,C03338,2025-08-10,completed,Card,Pickup Point
